# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.cachedValue.calculated.ms,1771201031738000000,1771201038923000000,0
workspaceModel.loading.total.ms,1771201031738000000,1771201038923000000,31
workspaceModel.cachedValueWithParameters.calculated.ms,1771201031738000000,1771201038923000000,0
workspaceModel.loading.from.cache.ms,1771201031738000000,1771201038923000000,25
workspaceModel.full.replace.project.model.ms,1771201031738000000,1771201038923000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1771201031738000000,1771201038923000000,3
workspaceModel.init.bridges.ms,1771201031738000000,1771201038923000000,0
workspaceModel.pre.handlers.ms,1771201031738000000,1771201038923000000,0
workspaceModel.cachedValueWithParameters.total.get.ms,1771201031738000000,1771201038923000000,0
workspaceModel.cachedValueWithParameters.from.cache.ms,1771201031738000000,1771201038923000000,0
workspaceModel.cachedValue.clear.ms,1771201031738000000,1771201038923000000,0
workspaceModel.update.unloaded.entities.ms,1771201031738000000,1771201038923000000,0
workspaceModel.updates.ms,1771201031738000000,1771201038923000000,0
workspaceModel.collect.changes.ms,1771201031738000000,1771201038923000000,0
workspaceModel.cachedValue.from.cache.ms,1771201031738000000,1771201038923000000,0
workspaceModel.replace.project.model.ms,1771201031738000000,1771201038923000000,0
workspaceModel.to.snapshot.ms,1771201031738000000,1771201038923000000,0
workspaceModel.check.recursive.update.ms,1771201031738000000,1771201038923000000,0
workspaceModel.updates.count,1771201031738000000,1771201038923000000,0
workspaceModel.cachedValue.total.get.ms,1771201031738000000,1771201038923000000,0
workspaceModel.initializing.ms,1771201031738000000,1771201038923000000,0
workspaceModel.cachedValueWithParameters.clear.ms,1771201031738000000,1771201038923000000,0
workspaceModel.updates.precise.ms,1771201031738000000,1771201038923000000,0
cacheStateStorage.get.duration,1771201031738000000,1771201038923000000,0
cacheStateStorage.set.counter,1771201031738000000,1771201038923000000,0
cacheStateStorage.get.counter,1771201031738000000,1771201038923000000,10
cacheStateStorage.set.duration,1771201031738000000,1771201038923000000,0
FilePageCache.totalPageLoadsUs,1771201031738000000,1771201038923000000,125876
FilePageCache.uncachedFileAccess,1771201031738000000,1771201038923000000,110
FilePageCacheLockFree.totalBytesRequested,1771201031738000000,1771201038923000000,0
FilePageCacheLockFree.totalPagesReclaimed,1771201031738000000,1771201038923000000,0
FilePageCacheLockFree.totalPagesWriteMs,1771201031738000000,1771201038923000000,0
FilePageCache.pageHits,1771201031738000000,1771201038923000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1771201031738000000,1771201038923000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1771201031738000000,1771201038923000000,9530
MappedFileStorage.totalBytesMapped,1771201031738000000,1771201038923000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1771201031738000000,1771201038923000000,41943040
MappedFileStorage.storages,1771201031738000000,1771201038923000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1771201031738000000,1771201038923000000,0
FilePageCacheLockFree.heapBytesInUse,1771201031738000000,1771201038923000000,0
StorageLockContext.competingThreads.90P,1771201031738000000,1771201038923000000,0
FilePageCacheLockFree.totalPagesReadMs,1771201031738000000,1771201038923000000,0
FilePageCacheLockFree.totalBytesWritten,1771201031738000000,1771201038923000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1771201031738000000,1771201038923000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1771201031738000000,1771201038923000000,0
FilePageCache.capacityInBytes,1771201031738000000,1771201038923000000,503316478
FilePageCacheLockFree.totalHeapBytesReclaimed,1771201031738000000,1771201038923000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1771201031738000000,1771201038923000000,0
FilePageCache.totalPageDisposalsUs,1771201031738000000,1771201038923000000,2162
FilePageCache.maxRegisteredFiles,1771201031738000000,1771201038923000000,537
FilePageCacheLockFree.housekeeperTurnsSkipped,1771201031738000000,1771201038923000000,0
DirectByteBufferAllocator.hits,1771201031738000000,1771201038923000000,3
MappedFileStorage.totalPagesMapped,1771201031738000000,1771201038923000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1771201031738000000,1771201038923000000,0
FilePageCache.pageFastCacheHits,1771201031738000000,1771201038923000000,3880
FilePageCacheLockFree.totalBytesRead,1771201031738000000,1771201038923000000,0
FilePageCacheLockFree.totalPagesRequested,1771201031738000000,1771201038923000000,0
FilePageCacheLockFree.totalPagesWritten,1771201031738000000,1771201038923000000,0
DirectByteBufferAllocator.reclaimed,1771201031738000000,1771201038923000000,43
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1771201031738000000,1771201038923000000,41943040
StorageLockContext.competingThreads.avg,1771201031738000000,1771201038923000000,0.0
FilePageCacheLockFree.totalPagesRequestsMs,1771201031738000000,1771201038923000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1771201031738000000,1771201038923000000,0
FilePageCacheLockFree.totalPagesHandedOver,1771201031738000000,1771201038923000000,0
FilePageCacheLockFree.totalPagesAllocated,1771201031738000000,1771201038923000000,0
FilePageCache.disposedBuffers,1771201031738000000,1771201038923000000,196
DirectByteBufferAllocator.misses,1771201031738000000,1771201038923000000,193
FilePageCache.pageLoads,1771201031738000000,1771201038923000000,196
FilePageCacheLockFree.nativeBytesInUse,1771201031738000000,1771201038923000000,0
DirectByteBufferAllocator.disposed,1771201031738000000,1771201038923000000,153
StorageLockContext.competingThreads.max,1771201031738000000,1771201038923000000,0
FilePageCache.maxCacheSizeInBytes,1771201031738000000,1771201038923000000,202375168
FilePageCacheLockFree.totalHeapBytesAllocated,1771201031738000000,1771201038923000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1771201031738000000,1771201038923000000,0
writeAction.wait.ms,1771201031738000000,1771201038923000000,0
writeAction.max.wait.ms,1771201031738000000,1771201038923000000,0
writeAction.count,1771201031738000000,1771201038923000000,1
writeAction.median.wait.ms,1771201031738000000,1771201038923000000,0
AWTEventQueue.dispatchTimeMaxNs,1771201031738000000,1771201038923000000,5771362303
FlushQueue.waitingTimeAvgNs,1771201031738000000,1771201038923000000,6.774632173735676E8
AWTEventQueue.dispatchTime90PNs,1771201031738000000,1771201038923000000,24959
AWTEventQueue.eventsDispatched,1771201031738000000,1771201038923000000,1963
