# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.sync.entities.ms,1771181723897000000,1771181730740000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1771181723897000000,1771181730740000000,0
workspaceModel.do.save.caches.ms,1771181723897000000,1771181730740000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1771181723897000000,1771181730740000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1771181723897000000,1771181730740000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1771181723897000000,1771181730740000000,0
jps.global.handle.changed.events.ms,1771181723897000000,1771181730740000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1771181723897000000,1771181730740000000,0
workspaceModel.mutableEntityStorage.instances.count,1771181723897000000,1771181730740000000,3
workspaceModel.save.cache.to.file.ms,1771181723897000000,1771181730740000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1771181723897000000,1771181730740000000,0
jps.library.entities.serializer.save.entities.ms,1771181723897000000,1771181730740000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1771181723897000000,1771181730740000000,0
jps.global.initialize.library.bridges.ms,1771181723897000000,1771181730740000000,0
workspaceModel.global.apply.state.to.project.ms,1771181723897000000,1771181730740000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1771181723897000000,1771181730740000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1771181723897000000,1771181730740000000,0
workspaceModel.load.cache.metadata.from.file.ms,1771181723897000000,1771181730740000000,0
VFS.invertedFileNameIndex.requests,1771181723897000000,1771181730740000000,0
VFS.fileChildByName,1771181723897000000,1771181730740000000,13
VFS.fileByIdCache.misses,1771181723897000000,1771181730740000000,0
VFS.fileByIdCache.hits,1771181723897000000,1771181730740000000,0
writeAction.median.wait.ms,1771181723897000000,1771181730740000000,0
writeAction.count,1771181723897000000,1771181730740000000,1
writeAction.max.wait.ms,1771181723897000000,1771181730740000000,0
writeAction.wait.ms,1771181723897000000,1771181730740000000,0
NonBlockingReadAction.finalizedExecutionsCount,1771181723897000000,1771181730740000000,15
FlushQueue.queueSizeMax,1771181723897000000,1771181730740000000,0
FlushQueue.executionTime90PNs,1771181723897000000,1771181730740000000,0
FlushQueue.waitingTime90PNs,1771181723897000000,1771181730740000000,0
FlushQueue.queueSize90P,1771181723897000000,1771181730740000000,0
FlushQueue.executionTimeMaxNs,1771181723897000000,1771181730740000000,0
AWTEventQueue.dispatchTimeMaxNs,1771181723897000000,1771181730740000000,0
AWTEventQueue.dispatchTimeAvgNs,1771181723897000000,1771181730740000000,0.0
AWTEventQueue.dispatchTime90PNs,1771181723897000000,1771181730740000000,0
AWTEventQueue.eventsDispatched,1771181723897000000,1771181730740000000,0
FlushQueue.queueSizeAvg,1771181723897000000,1771181730740000000,0.0
FlushQueue.waitingTimeMaxNs,1771181723897000000,1771181730740000000,0
